split,file,frames,windows,participant,matched_norms,intended_norm_exact,norm_max_error,cache_arrays_present,cache_arrays_differ,raw_mtime_ns,norm_mtime_ns,norm_size,selected_features_and_labels_sha256
train,features__cam-05_uid-14_take-01_aug-01_norm.npz,11167,367,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242725027000000,1790243116081000000,9711182,25f83aa9b37f489643939067b2615fa85a0ed635fe29c8f6c4bf4df3cc33520c
train,features__cam-05_uid-14_take-01_aug-02_norm.npz,11167,367,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242726456000000,1790243116467000000,9711182,25f83aa9b37f489643939067b2615fa85a0ed635fe29c8f6c4bf4df3cc33520c
train,features__cam-05_uid-14_take-01_aug-03_norm.npz,11167,367,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242727962000000,1790243116860000000,9711182,25f83aa9b37f489643939067b2615fa85a0ed635fe29c8f6c4bf4df3cc33520c
train,features__cam-05_uid-14_take-02_aug-01_norm.npz,9427,309,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242729263000000,1790243117219000000,8202173,8da65bef3b4615b02f6c0d2dc5e813ae8491fc04deea8384174e11ea88edbfb0
train,features__cam-05_uid-14_take-02_aug-02_norm.npz,9427,309,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242730554000000,1790243117556000000,8202173,8da65bef3b4615b02f6c0d2dc5e813ae8491fc04deea8384174e11ea88edbfb0
train,features__cam-05_uid-14_take-02_aug-03_norm.npz,9427,309,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242731805000000,1790243117919000000,8202173,8da65bef3b4615b02f6c0d2dc5e813ae8491fc04deea8384174e11ea88edbfb0
train,features__cam-06_uid-14_take-01_aug-01_norm.npz,11210,369,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242896325000000,1790243118323000000,9760335,4cc7a865440d31f8f2ddbf0edc10799b6448d92372949e06155d5e26dd58e9ad
train,features__cam-06_uid-14_take-01_aug-02_norm.npz,11210,369,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242898380000000,1790243118700000000,9760335,4cc7a865440d31f8f2ddbf0edc10799b6448d92372949e06155d5e26dd58e9ad
train,features__cam-06_uid-14_take-01_aug-03_norm.npz,11210,369,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242899852000000,1790243119066000000,9760335,4cc7a865440d31f8f2ddbf0edc10799b6448d92372949e06155d5e26dd58e9ad
train,features__cam-06_uid-14_take-02_aug-01_norm.npz,9565,314,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242901101000000,1790243119386000000,8325772,6b942cc69464d9298fd9d76c4ac07c1c480f9df96bb83d249c49d20350d9b87d
train,features__cam-06_uid-14_take-02_aug-02_norm.npz,9565,314,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242903687000000,1790243119774000000,8325772,6b942cc69464d9298fd9d76c4ac07c1c480f9df96bb83d249c49d20350d9b87d
train,features__cam-06_uid-14_take-02_aug-03_norm.npz,9565,314,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242904995000000,1790243120185000000,8325772,6b942cc69464d9298fd9d76c4ac07c1c480f9df96bb83d249c49d20350d9b87d
train,features__cam-07_uid-14_take-01_aug-01_norm.npz,11179,368,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790243071182000000,1790243120624000000,9733027,46fdec4a7983cb42aa5173effd4ac72ff3036637ce018726449c69541e8c86c2
train,features__cam-07_uid-14_take-01_aug-02_norm.npz,11179,368,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790243072583000000,1790243121001000000,9733027,46fdec4a7983cb42aa5173effd4ac72ff3036637ce018726449c69541e8c86c2
train,features__cam-07_uid-14_take-01_aug-03_norm.npz,11179,368,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790243074584000000,1790243121381000000,9733027,46fdec4a7983cb42aa5173effd4ac72ff3036637ce018726449c69541e8c86c2
train,features__cam-07_uid-14_take-02_aug-01_norm.npz,9317,306,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790243075826000000,1790243121704000000,8113410,6156a3923add3b6bf530c960a0763d45256295d31a8b6a06781db777302ac296
train,features__cam-07_uid-14_take-02_aug-02_norm.npz,9317,306,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790243077146000000,1790243122018000000,8113410,6156a3923add3b6bf530c960a0763d45256295d31a8b6a06781db777302ac296
train,features__cam-07_uid-14_take-02_aug-03_norm.npz,9317,306,14,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790243078396000000,1790243122336000000,8113410,6156a3923add3b6bf530c960a0763d45256295d31a8b6a06781db777302ac296
train,features__cam-05_uid-12_take-01_aug-01_norm.npz,10181,335,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242709228000000,1790243122686000000,8864004,4a7bbd8ea1a6001c0ed9d4858b2487ec7e8e459390cd2c50661043ebe6c967f5
train,features__cam-05_uid-12_take-01_aug-02_norm.npz,10181,335,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242710513000000,1790243123028000000,8864004,4a7bbd8ea1a6001c0ed9d4858b2487ec7e8e459390cd2c50661043ebe6c967f5
train,features__cam-05_uid-12_take-01_aug-03_norm.npz,10181,335,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242711822000000,1790243123364000000,8864004,4a7bbd8ea1a6001c0ed9d4858b2487ec7e8e459390cd2c50661043ebe6c967f5
train,features__cam-05_uid-12_take-02_aug-01_norm.npz,8697,285,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242713027000000,1790243123666000000,7575884,c003810c3bfac8e4d7dcb396ccc6e936b1aeda4b41ae2752db48f606e930eb30
train,features__cam-05_uid-12_take-02_aug-02_norm.npz,8697,285,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242714314000000,1790243123970000000,7575884,c003810c3bfac8e4d7dcb396ccc6e936b1aeda4b41ae2752db48f606e930eb30
train,features__cam-05_uid-12_take-02_aug-03_norm.npz,8697,285,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242715624000000,1790243124261000000,7575884,c003810c3bfac8e4d7dcb396ccc6e936b1aeda4b41ae2752db48f606e930eb30
train,features__cam-06_uid-12_take-01_aug-01_norm.npz,10318,339,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242872465000000,1790243124601000000,8985011,6ebcf36e548373d13576b389b546662e3b10e7fc47fec43ef66e41e55d1e28db
train,features__cam-06_uid-12_take-01_aug-02_norm.npz,10318,339,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242879981000000,1790243124947000000,8985011,6ebcf36e548373d13576b389b546662e3b10e7fc47fec43ef66e41e55d1e28db
train,features__cam-06_uid-12_take-01_aug-03_norm.npz,10318,339,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242881342000000,1790243125306000000,8985011,6ebcf36e548373d13576b389b546662e3b10e7fc47fec43ef66e41e55d1e28db
train,features__cam-06_uid-12_take-02_aug-01_norm.npz,8706,285,12,norm_mirrored_2026-09-24.npz,True,0.0,9,0,1790242883226000000,1790243125624000000,7586940,21c9561b2e5e7703f89b23a428a1c5e5ba90a444ec1ed8618704cc770c6771f7
